marque_voiture;id_voiture;modele_voiture;constructor_code;year_start;year_end;car_type ;car_code;AVTS;PONT;firstrow;secondrow;carboot
AIWAYS;1;U5;electrique;01/08/2020;à ce jour;SUV;AIW05;Oui;Non;Oui;Non;Oui
ALFA;2;ALFA 33;905;01/05/1983;01/07/1989;Berline;ALF10;Oui;Non;Oui;Non;Non
ALFA;3;ALFA 75;           162b;01/05/1985;01/12/1993;Berline;ALF15;Oui;Oui;Oui;Non;Non
ALFA;4;ALFA 145;;01/09/1994;01/06/2001;Berline;ALF20;Oui;Oui;Oui;Non;Non
ALFA;5;ALFA 146;;01/12/1994;01/06/2001;Berline;ALF25;Oui;Oui;Oui;Non;Oui
ALFA;6;ALFA 147;;01/10/2000;01/09/2004;Berline;ALF30;Oui;Oui;Oui;Non;Oui
ALFA;7;ALFA 147;phase2;01/10/2004;01/01/2010;Berline;ALF30;Oui;Oui;Oui;Non;Oui
ALFA;8;ALFA 155;;01/11/1991;31/12/1995;Berline;ALF35;Oui;Oui;Oui;Non;Oui
ALFA;9;ALFA 155  super;phase2;31/12/1995;01/08/1997;Berline;ALF35;Oui;Oui;Oui;Non;Oui
ALFA;10;ALFA 156;;01/09/1997;01/03/2003;Berline;ALF40;Oui;Oui;Oui;Non;Oui
ALFA;11;ALFA 156;FL FACELIFT;01/04/2003;01/11/2006;Berline;ALF40;Oui;Oui;Oui;Non;Oui
ALFA;12;ALFA 156 SPORTWAGON;;01/09/1997;01/03/2003;Break;ALF45;Oui;Oui;Oui;Non;Oui
ALFA;13;ALFA 156 SPORTWAGON;FL FACELIFT;01/04/2003;01/06/2007;Break;ALF45;Oui;Oui;Oui;Non;Oui
ALFA;14;ALFA 156 CROSSWAGEN;FL;01/09/2004;01/06/2007;Break;ALF45;Oui;Oui;Oui;Non;Oui
ALFA;15;ALFA 159 phase1;;01/05/2005;01/02/2008;Berline;ALF50;Oui;Oui;Oui;Non;Oui
ALFA;16;ALFA 159 phase2;;01/02/2008;01/06/2010;Berline;ALF50;Oui;Oui;Oui;Non;Oui
ALFA;17;ALFA 159 phase3;;01/06/2010;01/05/2013;Berline;ALF50;Oui;Oui;Oui;Non;Oui
ALFA;18;ALFA 159 phase1;;01/05/2005;01/02/2008;Break;ALF55;Oui;Oui;Oui;Non;Oui
ALFA;19;ALFA 159 phase2;;01/02/2008;01/06/2010;Break;ALF55;Oui;Oui;Oui;Non;Oui
ALFA;20;ALFA 159 phase3;;01/06/2010;01/05/2013;Break;ALF55;Oui;Oui;Oui;Non;Oui
ALFA;21;ALFA 164;;01/01/1987;01/09/1992;Berline;ALF60;Oui;Oui;Oui;Non;Non
ALFA;22;ALFA 164;FL92;01/09/1992;01/09/1998;Berline;ALF60;Oui;Oui;Oui;Non;Non
ALFA;23;ALFA 164;SUPER;01/09/1992;01/09/1998;Berline;ALF60;Oui;Oui;Oui;Non;Non
ALFA;24;ALFA 166;;01/10/1998;01/09/2003;Berline;ALF65;Oui;Oui;Oui;Non;Oui
ALFA;25;ALFA 166;FL;01/10/2003;01/12/2007;Berline;ALF65;Oui;Oui;Oui;Non;Oui
ALFA;26;ALFA BRERA entraxes fixation 40cm;;01/01/2006;01/10/2010;Coupé;ALF70;Oui;Non;Oui;Non;Oui
ALFA;27;ALFA BRERA entraxes fixation 25cm;;01/01/2006;01/10/2010;Coupé;ALF71;Oui;Non;Oui;Non;Oui
ALFA;28;ALFA 4C;;01/03/2013;à ce jour;Coupé;ALF72;Oui;Non;Non;Non;Non
ALFA;29;ALFA 4C spider;960;01/03/2014;à ce jour;SPIDER;ALF72;Oui;Non;Non;Non;Non
ALFA;30;ALFA 8C   COMPETIZIONE;920;01/01/2007;01/10/2009;Coupé;ALF75;Oui;Non;Non;Non;Non
ALFA;31;ALFA 8C   SPIDER;920;01/01/2008;01/10/2010;Coupé;ALF75;Oui;Non;Non;Non;Non
ALFA;32;ALFA GIULIETTA   II;;01/03/2010;01/09/2013;Berline;ALF80;Oui;Oui;Oui;Non;Oui
ALFA;33;ALFA GIULIETTA   II phase2;;01/09/2013;à ce jour;Berline;ALF80;Oui;Oui;Oui;Non;Oui
ALFA;34;ALFA GIULIETTA   FL2;FL2;01/02/2016;à ce jour;Berline;ALF80;Oui;Oui;Oui;Non;Oui
ALFA;35;ALFA GUILIA ;952;01/05/2016;à ce jour;Berline;ALF81;Oui;Oui;Oui;Non;Oui
ALFA;36;ALFA GT;937;01/03/2003;01/06/2010;Coupé;ALF85;Oui;Oui;Oui;Non;Oui
ALFA;37;ALFA GTV/SPIDER   I   serie2;zar116;01/12/1980;01/09/1987;Coupé/Cabriolet;ALF87;Oui;Non;Non;Non;Non
ALFA;38;ALFA GTV  II;zar916;01/05/1995;01/02/2003;Coupé;ALF90;Oui;Non;Oui;Non;Non
ALFA;39;ALFA GTV  III;zar916;01/03/2003;01/02/2006;Coupé;ALF90;Oui;Non;Oui;Non;Non
ALFA;40;ALFA SPIDER  II;zar916;01/05/1995;01/02/2003;Cabriolet;ALF90;Oui;Non;Oui;Non;Non
ALFA;41;ALFA SPIDER  II  serie2;zar916;01/03/2003;01/02/2006;Cabriolet;ALF90;Oui;Non;Oui;Non;Non
ALFA;42;ALFA SPIDER  III;zar916;01/03/2006;01/09/2010;Cabriolet;ALF90;Oui;Non;Oui;Non;Non
ALFA;43;ALFA MITO phase1;;01/09/2008;01/12/2010;Berline;ALF95;Oui;Oui;Oui;Non;Oui
ALFA;44;ALFA MITO phase2;;01/07/2010;à ce jour;Berline;ALF95;Oui;Oui;Oui;Non;Oui
ALFA;45;ALFA MITO phase3;;01/05/2013;à ce jour;Berline;ALF95;Oui;Oui;Oui;Non;Oui
ALFA;46;ALFA SPIDER;tipo939,brera spider;01/01/2006;01/09/2010;Coupé/Cabriolet;ALF100;Oui;Non;Non;Non;Non
ALFA;47;ALFA STELVIO SUV 2017;;01/04/2017;31/12/2019;4X4;ALF105;Oui;Oui;Oui;Non;Oui
ALFA;48;ALFA STELVIO SUV 2017  phase2;;31/12/2019;à ce jour;4X4;ALF105;Oui;Oui;Oui;Non;Oui
ASTON MARTIN ;49;ASTON MARTIN  DB7     ( 6  CYLINDRES EN LIGNE);;01/01/1993;31/12/1998;Coupé;AST10;Oui;Non;Oui;Non;Non
ASTON MARTIN ;50;ASTON MARTIN  DB7     ( V12) VOLANT à DROIT;;01/01/2000;31/12/2003;Coupé;UK126;Oui;Non;Oui;Non;Non
ASTON MARTIN ;51;ASTON MARTIN  DB7 vantage ( V12) VOLANT à gauche;;01/01/2000;31/12/2003;Coupé;AST11;Oui;Non;Non;Non;Non
ASTON MARTIN ;52;ASTON MARTIN  DB9;;01/01/2004;à ce jour;Coupé;AST15;Oui;Non;Oui;Non;Non
ASTON MARTIN ;53;ASTON MARTIN  VANTAGE  (V8);;01/01/2005;31/12/2018;Coupé;AST20;Oui;Non;Non;Non;Non
ASTON MARTIN ;54;ASTON MARTIN  VIRAGE  (V8);;01/10/1988;01/06/1998;Coupé;AST22;Oui;Non;Non;Non;Non
